product_name,category,description_raw,url
POOL,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/pool/
TG,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/tg/
RAISED,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/raised/
KAALE,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/kaale/
HERNDON,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/herndon/
DIBOLA,Sport-Bottoms,Lightweight Stretch Nylon Jogger,https://solbiatosport.com/product/dibola/
CL-French Terry Reflective Jogger,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/cl-french-terry-reflective-jogger/
CL-French Terry Tape Logo Jogger,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/cl-tape-jogger/
EVAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/evan/
NUK,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/nuk/
FUN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/fun/
PALANG,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/palang/
KIDO,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/kido/
MENDOZA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/mendoza/
VISTA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/vista/
TIRDAD,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/tirdad/
DOOZ,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/dooz/
DASTAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/dastan/
PESTEH,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/pesteh/
BEIPING,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/beiping/
STEEL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/steel/
MOXI,Sport-Bottoms,Regular Fleece Joggers,https://solbiatosport.com/product/moxi/
NAGOO,Sport-Bottoms,Regular Fleece Joggers,https://solbiatosport.com/product/nagoo/
TOSS,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/toss/
VARZESH,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/varzesh/
CHAX,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/chax/
ZEMIN,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/zemin/
AGED,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/aged/
UNBLOCKED,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/unblocked/
AMARTA,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/amarta/
SEFT,Sport-Bottoms,Lightweight Stretch Nylon Jogger,https://solbiatosport.com/product/seft/
PICHO,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/picho/
BABOL,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/babol/
NATIONAL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/national/
FENCING,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/fencing/
STRUCTURE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/structure/
RONY,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/rony/
BICK,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/bick/
CHEVRON,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/chevron/
MAPLE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/maple/
SPPA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/sppa/
FETA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/feta/
DUNIGAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/dunigan/
VILIDGE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/vilidge/
ZIAD,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/ziad/
DIGITS,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/digits/
MALIBU,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/malibu/
SHIRLEY,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/shirley/
SAHAR,Sport-Bottoms,Nylon Joggers,https://solbiatosport.com/product/sahar/
FORGET,Sport-Bottoms,Nylon Joggers,https://solbiatosport.com/product/forget/
MOMO,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/momo/
HURRICANE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/hurricane/
VERTEX,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/vertex/
MESSY,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/messy/
GRAPE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/grape/
DAAS,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/daas/
APARTMENT,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/apartment/
NOVEMBER,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/november/
RITTED,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/ritted/
SHIMA,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/shima/
ROTATED,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/rotated/
MAASH,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/maash/
BARAK,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/barak/
MORE,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/more/
MEYBOD,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/meybod/
UNZIPPING,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/unzipping/
BUTTON,Sport-Bottoms,FRENCH TERRY JOGGERS,https://solbiatosport.com/product/button/
SHINGLE,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/shingle/
WEEKS,Sport-Bottoms,Regular Fleece Joggers,https://solbiatosport.com/product/weeks/
TAAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/taan/
DEGON,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/degon/
NEUTRON,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/neutron/
CLIENT,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/client/
JEWELERS,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/jewelers/
CL-Nylon Sweat Pants,Sport-Bottoms,Nylon Sweat Pants,https://solbiatosport.com/product/cl-nylon-sweat-pants/
CL-French Terry Sweat Pants,Sport-Bottoms,French Terry Sweat Pants,https://solbiatosport.com/product/cl-french-terry-sweat-pants/
CL-Noah Fabric Jogger,Sport-Bottoms,Noah Fabric Joggers,https://solbiatosport.com/product/cl-noah-fabric-jogger/
KALA,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/kala/
FARLAND,Sport-Bottoms,Nylon Shorts,https://solbiatosport.com/product/farland/
RAILED,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/railed/
MITE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/mite/
TAIL,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/tail/
IMAGE,Sport-Bottoms,French Terry Shorts,https://solbiatosport.com/product/image/
SPEED,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/speed/
DAVID,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/david/
BROIL,Sport-Bottoms,Nylon Joggers,https://solbiatosport.com/product/broil/
VISIBLE,Sport-Bottoms,Nylon Joggers,https://solbiatosport.com/product/visible/
LITERAL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/literal/
RYUZO,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/ryuzo/
TIBANA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/tibana/
EIGHTEEN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/eighteen/
ROJA,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/roja/
ROVER,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/rover/
WINGS,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/wings/
GIFT,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/gift/
BIRN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/birn/
SPEECH,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/speech/
DORS,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/dors/
HANDWRITTEN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/handwritten/
ROLE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/role/
CHANGE,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/change/
FORD,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/ford/
MAAHI,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/maahi/
STATE,Sport-Bottoms,Techno Fabric Joggers,https://solbiatosport.com/product/state/
CHINGOL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/chingol/
TROPICAL,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/tropical/
DRESSING,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/dressing/
PROMOTION,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/promotion/
TIEBREAK,Sport-Bottoms,Solb Fabric Joggers,https://solbiatosport.com/product/tiebreak/
MANGO,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/mango/
BRAZIL,Sport-Bottoms,French Terry Jogger Shorts,https://solbiatosport.com/product/brazil/
YARD,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/yard/
POOYAN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/pooyan/
LOREN,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/loren/
DOWNGRADE,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/downgrade/
BOY,Sport-Bottoms,French Terry Joggers,https://solbiatosport.com/product/boy/
